lr,epoch,precision
0.05,5,0.2054794520547945
0.05,25,0.17465753424657535
0.05,45,0.17465753424657535
0.05,65,0.17465753424657535
0.05,85,0.17465753424657535
0.05,105,0.17465753424657535
0.05,125,0.2602739726027397
0.05,145,0.2534246575342466
0.29,5,0.17465753424657535
0.29,25,0.2568493150684932
0.29,45,0.4178082191780822
0.29,65,0.4520547945205479
0.29,85,0.4417808219178082
0.29,105,0.4520547945205479
0.29,125,0.4383561643835616
0.29,145,0.4486301369863014
0.53,5,0.17465753424657535
0.53,25,0.4315068493150685
0.53,45,0.4383561643835616
0.53,65,0.4349315068493151
0.53,85,0.4554794520547945
0.53,105,0.4520547945205479
0.53,125,0.4452054794520548
0.53,145,0.4417808219178082
0.76,5,0.17465753424657535
0.76,25,0.4349315068493151
0.76,45,0.4280821917808219
0.76,65,0.4486301369863014
0.76,85,0.4452054794520548
0.76,105,0.4520547945205479
0.76,125,0.4349315068493151
0.76,145,0.4349315068493151
1.0,5,0.17465753424657535
1.0,25,0.4520547945205479
1.0,45,0.4520547945205479
1.0,65,0.4486301369863014
1.0,85,0.4349315068493151
1.0,105,0.4452054794520548
1.0,125,0.4417808219178082
1.0,145,0.4417808219178082
