lr,epoch,precision
0.38,75,0.428057554
0.63,45,0.424460432
0.3,95,0.420863309
0.38,60,0.420863309
0.55,50,0.420863309
0.3,90,0.417266187
0.38,70,0.417266187
0.47,50,0.417266187
0.55,55,0.417266187
0.72,40,0.417266187
0.8,30,0.417266187
0.3,85,0.413669065
0.38,80,0.413669065
0.38,85,0.413669065
0.38,90,0.413669065
0.47,60,0.413669065
0.47,65,0.413669065
0.47,70,0.413669065
0.55,60,0.413669065
0.63,50,0.413669065
0.3,75,0.410071942
0.38,65,0.410071942
0.47,55,0.410071942
0.63,40,0.410071942
0.72,35,0.410071942
0.72,50,0.410071942
0.8,40,0.410071942
0.3,80,0.40647482
0.47,35,0.40647482
0.47,75,0.40647482
0.55,45,0.40647482
0.72,45,0.40647482
0.72,65,0.40647482
0.8,25,0.40647482
0.8,35,0.40647482
0.38,45,0.402877698
0.47,90,0.402877698
0.47,95,0.402877698
0.55,40,0.402877698
0.55,65,0.402877698
0.55,75,0.402877698
0.55,85,0.402877698
0.63,30,0.402877698
0.63,35,0.402877698
0.63,55,0.402877698
0.63,75,0.402877698
0.72,25,0.402877698
0.72,30,0.402877698
0.8,55,0.402877698
0.3,60,0.399280576
0.38,50,0.399280576
0.47,40,0.399280576
0.55,90,0.399280576
0.63,60,0.399280576
0.63,65,0.399280576
0.72,60,0.399280576
0.72,70,0.399280576
0.8,20,0.399280576
0.8,60,0.399280576
0.8,65,0.399280576
0.38,95,0.395683453
0.47,80,0.395683453
0.47,85,0.395683453
0.55,35,0.395683453
0.55,70,0.395683453
0.55,80,0.395683453
0.63,70,0.395683453
0.72,55,0.395683453
0.8,45,0.395683453
0.8,50,0.395683453
0.8,75,0.395683453
0.3,55,0.392086331
0.38,55,0.392086331
0.47,45,0.392086331
0.63,25,0.392086331
0.63,95,0.392086331
0.72,90,0.392086331
0.8,85,0.392086331
0.8,90,0.392086331
0.3,50,0.388489209
0.3,65,0.388489209
0.38,40,0.388489209
0.55,30,0.388489209
0.63,80,0.388489209
0.63,85,0.388489209
0.72,20,0.388489209
0.72,75,0.388489209
0.72,85,0.388489209
0.8,70,0.388489209
0.8,95,0.388489209
0.3,70,0.384892086
0.47,30,0.384892086
0.63,90,0.384892086
0.72,80,0.384892086
0.72,95,0.384892086
0.8,80,0.384892086
0.55,25,0.381294964
0.55,95,0.381294964
0.3,45,0.374100719
0.38,30,0.370503597
0.47,25,0.370503597
0.63,20,0.370503597
0.3,35,0.366906475
0.3,40,0.366906475
0.55,20,0.363309353
0.38,35,0.352517986
0.38,25,0.327338129
0.47,20,0.323741007
0.3,30,0.305755396
0.38,20,0.291366906
0.3,25,0.287769784
0.3,20,0.269784173
