lr,epoch,precision
0.05,85,0.957055215
1,5,0.95398773
0.05,105,0.950920245
0.05,125,0.947852761
0.05,145,0.947852761
0.29,45,0.944785276
0.29,65,0.944785276
0.53,25,0.944785276
0.53,45,0.944785276
0.76,25,0.944785276
0.76,45,0.944785276
0.76,65,0.944785276
0.76,85,0.944785276
0.76,145,0.944785276
1,25,0.944785276
1,45,0.944785276
1,65,0.944785276
0.29,25,0.941717791
0.29,85,0.938650307
0.29,105,0.938650307
0.29,125,0.938650307
0.29,145,0.938650307
0.53,65,0.938650307
0.53,85,0.938650307
0.53,105,0.938650307
0.53,125,0.938650307
0.53,145,0.938650307
0.76,105,0.938650307
0.76,125,0.938650307
1,85,0.935582822
1,145,0.935582822
1,125,0.926380368
1,105,0.920245399
0.05,65,0.911042945
0.76,5,0.911042945
0.53,5,0.77607362
0.05,45,0.754601227
0.29,5,0.754601227
0.05,5,0.745398773
0.05,25,0.745398773
