lr,epoch,precision
0.05,80,0.957055215
0.05,85,0.957055215
0.05,90,0.95398773
0.05,95,0.950920245
0.05,100,0.950920245
0.05,105,0.950920245
0.05,110,0.950920245
0.05,115,0.947852761
0.05,120,0.947852761
0.05,125,0.947852761
0.05,130,0.947852761
0.05,135,0.947852761
0.05,140,0.947852761
0.05,145,0.944785276
1,110,0.944785276
1,130,0.944785276
1,140,0.944785276
1,145,0.944785276
1,100,0.941717791
1,125,0.941717791
1,85,0.938650307
1,95,0.938650307
1,105,0.938650307
1,135,0.938650307
1,120,0.935582822
1,90,0.932515337
1,80,0.929447853
1,115,0.892638037
