lr,epoch,precision
0.29,85,0.534653465
0.53,65,0.534653465
0.53,125,0.534653465
0.29,105,0.532673267
0.53,85,0.532673267
0.76,25,0.532673267
0.29,65,0.530693069
0.76,125,0.530693069
0.53,105,0.528712871
0.76,45,0.528712871
0.76,145,0.528712871
1,125,0.528712871
0.53,45,0.526732673
0.76,65,0.526732673
0.53,145,0.522772277
0.76,85,0.522772277
1,85,0.522772277
0.29,125,0.520792079
0.29,145,0.520792079
0.76,105,0.520792079
1,25,0.518811881
1,105,0.518811881
1,145,0.518811881
1,65,0.516831683
1,45,0.514851485
0.53,25,0.489108911
0.29,45,0.481188119
0.05,145,0.413861386
0.29,25,0.413861386
0.05,125,0.354455446
0.05,105,0.295049505
0.05,5,0.235643564
1,5,0.215841584
0.05,85,0.19009901
0.76,5,0.16039604
0.05,65,0.156435644
0.29,5,0.156435644
0.53,5,0.156435644
0.05,25,0.152475248
0.05,45,0.15049505
